ProcesoSancionId,Expediente,ProcesoSancionTipoNombre,ProcesoSancionEstado,FechaInicio,FechaTermino,ConfirmaPdC,MultaTotalUTA,LinkSNIFA,UnidadFiscalizableId,Nombre,RegionNombre,ComunaNombre,Latitud,Longitud,CategoriaEconomicaNombre,SubCategoriaEconomicaNombre,LinkSNIFA_UF,FechaActualizacion,DuracionDias
1139,D-008-2014,Denuncia,Terminado - Sanción,2014-06-03,2015-04-06,No,48.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1139                          ,2964,ALIMENTOS ANTILLAL,Región del Maule,Linares,-35.8563,-71.5148,Agroindustrias,Planta procesadora de productos agrícolas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2964                          ,2026-09-12,307.0
1140,D-009-2014,Denuncia,Terminado - Sanción,2014-06-11,2015-02-05,No,124.4,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1140                          ,7864,METRO S.A. LINEA 4,Región Metropolitana,Peñalolén,-33.488108,-70.580222,Infraestructura de Transporte,Metro,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/7864                          ,2026-09-12,239.0
1141,D-010-2014,Denuncia,Terminado - Sanción,2014-06-11,2014-12-23,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1141                          ,10566,ELECTRICIDAD INDUSTRIAL,Región Metropolitana,Santiago,-33.45078,-70.634575,Instalación fabril,Otras,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10566                         ,2026-09-12,195.0
1142,D-011-2014,Denuncia,Terminado - Sanción,2014-06-11,2014-12-23,No,81.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1142                          ,10567,EDIFICIO BELLET 2,Región Metropolitana,Providencia,-33.425061,-70.618744,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10567                         ,2026-09-12,195.0
1143,F-054-2014,Fiscalización,Terminado - Sanción,2014-06-12,2015-05-04,No,6554.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1143                          ,229,LOS BRONCES - ANGLO AMERICAN SUR S.A.,Región Metropolitana,Lo Barnechea,-33.1674435,-70.3244411,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/229                           ,2026-09-12,326.0
1146,D-013-2014,Denuncia,Terminado - Sanción,2014-06-27,2015-12-21,No,221.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1146                          ,2880,ACOPIO DE CONCHAS Y PLANTA DE CAL AGRICOLA CHILOE,Región de los Lagos,Castro,-42.3972170052789,-73.7053900145405,Pesca y Acuicultura,Elaboración y procesado de recursos hidrobiológicos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2880                          ,2026-09-12,542.0
1149,F-057-2014,Fiscalización,Terminado - Sanción,2014-08-06,2022-11-21,No,270.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1149                          ,6369,EAGON LAUTARO,Región de la Araucanía,Lautaro,-38.5367996625786,-72.4593275238037,Forestal,Aserradero / procesadora de madera,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/6369                          ,2026-09-12,3029.0
1151,F-059-2014,Fiscalización,Terminado - Sanción,2014-08-14,2015-05-04,No,807.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1151                          ,229,LOS BRONCES - ANGLO AMERICAN SUR S.A.,Región Metropolitana,Lo Barnechea,-33.1674435,-70.3244411,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/229                           ,2026-09-12,263.0
1153,D-015-2014,Denuncia,Terminado - Sanción,2014-09-08,2015-09-15,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1153                          ,13286,CENTRO RELIGIOSOIGLESIA MINISTERIO RESTAURACIÓN EN ACCIÓN,Región Metropolitana,La Granja,-33.5447122260055,-70.6123194583359,Equipamiento,Centro de culto religioso / espiritual,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13286                         ,2026-09-12,372.0
1165,F-064-2014,Fiscalización,Terminado - Sanción,2014-11-05,2015-05-14,No,1.6,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1165                          ,13281,LEÑERÍAWESTMILL,Región de la Araucanía,Temuco,-38.7425,-72.6357251,Equipamiento,Centro de comercialización de leña,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13281                         ,2026-09-12,190.0
